WOJ,POW,NAZWA
2,22,Gryżyce
2,22,Krzydlina Wielka
2,22,Lubiąż
2,22,Pawłoszewo
2,22,Sławowice
2,22,Straszowice
2,7,Krzeszów
2,7,Krzeszówek
2,7,Sędzisław
2,17,Brzezica
2,13,Gądkowice
2,13,Gogołowice
2,13,Ruda Sułowska
2,13,Słączno
2,13,Świętoszyn
2,19,Olszany
2,19,Mokrzeszów
2,19,Niegoszów
2,19,Opoczka
2,19,Pszenno
2,23,Maniów Wielki
2,2,Dobrocin
2,2,Jędrzejowice
2,23,Siedlakowice
2,23,Strzegomiany
2,23,Bogusławice
2,23,Ozorzyce
2,19,Kalno
2,19,Mrowiny
2,13,Police
2,10,Pisarzowice
2,8,Żelazno
2,17,Biedrzychów
2,20,Nowy Dwór
2,20,Węgrzynów
2,19,Gołaszyce
2,19,Imbramowice
2,23,Domaszczyn
2,23,Święta Katarzyna
2,23,Zacharzyce
2,23,Pietrzykowice
2,23,Rybnica
2,17,Kępino
2,18,Lasek
2,18,Łagiewniki Średzkie
2,18,Pielaszkowice
2,18,Sokolniki
2,19,Kłaczyna
2,8,Gołaczów
2,16,Krępa
2,16,Łężce
2,16,Sieroszowice
2,17,Borek Strzeliński
2,8,Karłów
2,4,Dochowa
2,4,Ługi
2,4,Pobiel
2,4,Wiklina
2,4,Wrząca Śląska
2,5,Jastrowiec
2,14,Ligota Rybińska
2,1,Zagajnik
2,20,Węglewo
2,9,Strupice
2,9,Zamienice
2,9,Kozice
2,9,Warmątowice Sienkiewiczowskie
2,9,Biskupice
2,26,Łaźniki
2,26,Nowa Wieś Złotoryjska
2,17,Szczodrowice
2,17,Żeleźnik
2,17,Bryłówek
2,17,Jaworów
2,17,Łojowice
2,17,Stary Wiązów
2,18,Chmielów
2,20,Kaszyce Milickie
2,20,Książęca Wieś
2,19,Bolesławice
2,19,Pasieczna
2,19,Tomkowa
2,17,Strużyna
2,26,Nowe Łąki
2,26,Stara Kraśnica
2,26,Olszanica
2,26,Uniejowice
2,4,Czernina Dolna
2,4,Kruszyniec
2,9,Biała
2,6,Mała Kamienica
2,6,Kopaniec
2,16,Śrem
2,10,Wolimierz
2,7,Miszkowice
2,12,Skała
2,16,Stara Rzeka
2,16,Dąbrowa
2,16,Guzice
2,8,Lesica
2,19,Chwałków
2,19,Gola Świdnicka
2,19,Gruszów
2,19,Kątki
2,8,Witów
2,8,Leśna
2,8,Dolnik
2,21,Witków
2,14,Oska Piła
2,1,Golnice
2,18,Rzeczyca
2,18,Karnice
2,14,Poniatowice
2,14,Sokołowice
2,9,Legnickie Pole
2,1,Raciborowice Górne
2,8,Mostowice
2,3,Grodziec Mały
2,2,Sieniawka
2,18,Kulin
2,11,Chróstnik
2,11,Czerniec
2,11,Miłoradzice
2,11,Miłosna
2,11,Miroszowice
2,20,Chodlewo
2,13,Postolin
2,14,Działosza
2,14,Gaszowice
2,17,Komorowice
2,17,Zarzyca
2,17,Żelowice
2,2,Trzebnik
2,2,Kietlin
2,4,Bełcz Wielki
2,4,Głobice
2,4,Lipowiec
2,4,Żabin
2,4,Chocieborowice
2,21,Grzmiąca
2,21,Łączna
2,21,Rybnica Leśna
2,12,Górczyca
2,12,Nagórze
2,17,Jegłowa
2,17,Krzywina
2,17,Nowolesie
2,17,Pęcz
2,8,Jaszkówka
2,8,Romanowo
2,8,Szalejów Górny
2,8,Wojciechowice
2,1,Kraśnik Górny
2,1,Krępnica
2,1,Stara Oleszna
2,3,Głogówko
2,3,Domaniowice
2,3,Kamiona
2,3,Kłoda
2,17,Bierzyn
2,19,Przyłęgów
2,3,Szczyglice
2,19,Żelazów
2,19,Bystrzyca Górna
2,19,Krzyżowa
2,19,Makowice
2,19,Słotwina
2,19,Sulisławice
2,9,Rogów Legnicki
2,9,Usza
2,9,Wągrodno
2,13,Sławoszowice
2,13,Sulimierz
2,13,Tworzymirki
2,9,Osetnica
2,20,Blizocin
2,20,Boleścin
2,14,Brzezinka
2,20,Ujeździec Wielki
2,20,Ligota Piękna
2,19,Witoszów Górny
2,19,Bożanów
2,23,Maniów Mały
2,23,Proszkowice
2,23,Sulimów
2,19,Kruków
2,13,Grabownica
2,13,Kuźnica Czeszycka
2,13,Łazy Wielkie
2,13,Wierzchowice
2,10,Uniegoszcz
2,20,Pęciszów
2,13,Wodników Górny
2,13,Wszewilki
2,22,Tarchalice
2,23,Kątna
2,23,Kiełczówek
2,23,Krajków
2,23,Kilianów
2,23,Romnów
2,23,Sadowice
2,23,Górzyce
2,23,Kębłowice
2,15,Nowy Dwór
2,15,Gaj Oławski
2,15,Godzikowice
2,15,Kończyce
2,15,Radoszkowice
2,15,Skrzypnik
2,15,Wierzbno
2,15,Biskupice Oławskie
2,3,Gaiki
2,11,Dębiec
2,12,Młyńsko
2,12,Golejów
2,23,Michałowice
2,23,Śliwice
2,23,Zaprężyn
2,23,Dankowice
2,8,Piotrowice
2,8,Ponikwa
2,8,Poręba
2,8,Suszyna
2,8,Kamienica
2,14,Chełstów
2,14,Domasławice
2,25,Jagodzin
2,25,Białogórze
2,25,Jędrzychowice
2,25,Łomnica
2,25,Trójca
2,24,Kalinowice Dolne
2,24,Lipa
2,24,Niedźwiedź
2,24,Pomianów Dolny
2,24,Starczówek
2,5,Mysłów
2,5,Sady Dolne
2,24,Baldwinowice
2,24,Czesławice
2,4,Piskorze
2,15,Piskorzów
2,15,Radłowice
2,15,Wyszkowice
2,23,Nowy Śleszów
2,23,Okrzeszyce
2,23,Pasterzyce
2,11,Olszany
2,11,Radomiłów
2,11,Stara Rudna
2,11,Studzionki
2,11,Wądroże
2,11,Lasowice
2,11,Turów
2,11,Wielowieś
2,11,Zaborów
2,12,Krzewie Wielkie
2,12,Rząsiny
2,12,Maciejowiec
2,12,Milęcice
2,13,Brzezina Sułowska
2,13,Czatkowice
2,24,Szklary
2,25,Czerwona Woda
2,25,Radomierzyce
2,25,Ręczyn
2,8,Świerki
2,23,Stępin
2,23,Tokary
2,23,Jezierzyce Wielkie
2,8,Stara Bystrzyca
2,5,Sichówek
2,5,Pogwizdów
2,5,Sokola
2,5,Kępy
2,15,Kopalina
2,24,Dzbanów
2,24,Grochowa
2,8,Szklary
2,23,Szymanów
2,23,Małuszów
2,23,Pustków Wilczkowski
2,24,Brochocin
2,24,Koźmice
2,24,Tomice
2,24,Niedźwiednik
2,24,Służejów
2,25,Bratków
2,25,Jasna Góra
2,5,Sady Górne
2,25,Skrzydlice
2,25,Stary Zawidów
2,15,Jankowice
2,15,Jankowice Małe
2,16,Brunów
2,5,Świny
2,5,Wierzchosławice
2,24,Budzów
2,24,Bobolice
2,4,Łęczyca
2,4,Psary
2,13,Grabówka
2,6,Komarno
2,6,Mniszków
2,1,Borówki
2,5,Mściwojów
2,5,Bolkowice
2,5,Grobla
2,5,Nowa Wieś Wielka
2,14,Grabowno Małe
2,14,Łazisko
2,14,Sądrożyce
2,5,Budziszów Wielki
2,5,Jenków
2,15,Zakrzów
2,5,Stare Rochowice
2,5,Wolbromek
2,23,Sośnica
2,23,Magnice
2,23,Nowiny
2,24,Olbrachcice Wielkie
2,18,Chwalimierz
2,11,Bytków
2,11,Ciechłowice
2,19,Śmiałowice
2,19,Wiry
2,19,Bartoszówek
2,13,Kolęda
2,23,Bielany Wrocławskie
2,23,Krzyżowice
2,23,Księginice
2,8,Mielnik
2,23,Rolantowice
2,23,Wierzbice
2,23,Wysoka
2,23,Racławice Wielkie
2,25,Bierna
2,25,Studniska Górne
2,25,Wilka
2,18,Ciechów
2,11,Wiercień
2,11,Gawrony
2,19,Graniczna
2,8,Dolina
2,20,Trzęsowice
2,9,Raczkowa
2,9,Lipce
2,9,Ulesie
2,20,Raków
2,20,Siemianice
2,24,Bożnowice
2,11,Składowice
2,14,Łuczyna
2,14,Dalborowice
2,14,Gołębice
2,14,Bukowina Sycowska
2,14,Dziesławice
2,14,Klonów
2,16,Ogorzelec
2,23,Będkowice
2,23,Kryształowice
2,23,Nasławice
2,13,Rakłowice
2,13,Brzostowo
2,4,Chróścina
2,20,Cerekwica
2,20,Komorowo
2,20,Malczów
2,20,Masłów
2,23,Jordanów Śląski
2,26,Wojcieszyn
2,26,Lubiechowa
2,14,Moszyce
2,15,Chwastnica
2,6,Radomierz
2,6,Chrośnica
2,6,Dąbrowica
2,23,Łany
2,23,Nadolice Małe
2,4,Luboszyce Małe
2,6,Mysłakowice
2,6,Miłków
2,6,Staniszów
2,6,Zachełmie
